species_id,species_name,exp_to_100,growth_rate,total_hp,total_att,total_sp_att,total_def,total_sp_def
420,Munchlax,114728,Erratic,73,45,48,17,17
421,Decoy,114728,Erratic,73,45,48,17,17
21,Spearow,1736500,Fluctuating,126,73,81,49,49
22,Fearow,1736500,Fluctuating,108,68,73,43,42
18,Pidgeot,1800000,Fluctuating,113,94,94,53,43
15,Beedrill,1864600,Fluctuating,128,62,65,31,32
236,Qwilfish,1891800,Fluctuating,135,87,90,42,43
267,Blissey,1900000,Fluctuating,122,81,74,37,34
367,Crawdaunt,1908800,Fluctuating,141,83,93,52,51
12,Butterfree,1910000,Fluctuating,98,63,56,34,19
11,Metapod,1913000,Fluctuating,70,50,50,20,19
260,Smeargle,1944800,Fluctuating,123,80,84,44,43
35,Clefairy,1948000,Fluctuating,94,65,70,39,38
36,Clefable,1948000,Fluctuating,94,77,81,36,38
20,Raticate,1966813,Fluctuating,147,88,97,63,53
324,Nosepass,1998500,Fluctuating,121,81,91,57,57
252,Skarmory,2009200,Fluctuating,147,69,83,42,42
386,Chimecho,2024000,Fluctuating,117,69,79,47,47
239,Heracross,2030000,Fluctuating,89,67,77,30,30
238,Shuckle,2030600,Fluctuating,157,79,89,51,51
340,Roselia,2033000,Fluctuating,89,67,77,30,30
403,Metang,2033240,Fluctuating,121,81,76,66,57
404,Metagross,2033240,Fluctuating,123,89,97,59,56
113,Chansey,2033400,Fluctuating,70,50,50,20,19
341,Gulpin,2041100,Fluctuating,113,60,70,39,39
342,Swalot,2041100,Fluctuating,152,73,78,38,39
360,Zangoose,2043000,Fluctuating,157,88,97,58,58
314,Slaking,2043600,Fluctuating,126,89,89,33,33
406,Regice,2044950,Fluctuating,135,100,109,71,66
227,Wobbuffet,2049860,Fluctuating,120,102,97,44,43
163,Hoothoot,2061000,Fluctuating,124,72,83,49,49
164,Noctowl,2061000,Fluctuating,118,85,95,57,55
328,Mawile,2063200,Fluctuating,157,79,89,58,58
146,Moltres,2074000,Fluctuating,147,75,85,43,43
132,Ditto,2080500,Fluctuating,134,61,70,40,39
114,Tangela,2081000,Fluctuating,166,84,96,44,50
115,Kangaskhan,2081000,Fluctuating,167,79,94,49,51
161,Sentret,2090000,Fluctuating,94,70,70,51,39
162,Furret,2090000,Fluctuating,100,90,80,51,39
357,Cacturne,2090600,Fluctuating,139,68,79,43,42
189,Jumpluff,2092410,Fluctuating,132,91,90,43,42
145,Zapdos,2094000,Fluctuating,147,73,83,42,42
28,Sandslash,2099130,Fluctuating,114,89,88,68,53
166,Ledian,2104000,Fluctuating,92,83,94,41,39
105,Marowak,2110000,Fluctuating,149,93,108,55,58
315,Nincada,2110300,Fluctuating,89,67,77,30,30
316,Ninjask,2110300,Fluctuating,118,84,93,39,42
317,Shedinja,2110300,Fluctuating,2,27,26,15,15
301,Taillow,2115040,Fluctuating,98,77,80,42,39
302,Swellow,2115040,Fluctuating,120,88,93,49,44
304,Pelipper,2115040,Fluctuating,152,82,90,54,55
398,Luvdisc,2118400,Fluctuating,165,83,87,42,40
47,Parasect,2120000,Fluctuating,89,67,77,35,35
190,Aipom,2120000,Fluctuating,89,72,82,35,30
83,Farfetch,2127000,Fluctuating,114,75,77,40,47
259,Stantler,2128000,Fluctuating,95,73,83,36,36
140,Kabuto,2131290,Fluctuating,142,102,98,68,53
141,Kabutops,2131290,Fluctuating,162,119,103,68,52
144,Articuno,2134000,Fluctuating,147,79,89,44,44
332,Meditite,2134805,Fluctuating,130,82,89,44,44
333,Medicham,2134805,Fluctuating,120,87,93,52,52
198,Murkrow,2135150,Fluctuating,126,68,76,42,44
405,Regirock,2137900,Fluctuating,139,123,133,74,64
370,Lileep,2143600,Fluctuating,125,61,67,31,30
371,Cradily,2143600,Fluctuating,157,57,65,32,31
84,Doduo,2148300,Fluctuating,150,70,79,43,46
85,Dodrio,2150000,Fluctuating,132,80,83,33,36
311,Breloom,2150000,Fluctuating,89,67,77,30,30
71,Victreebel,2153000,Fluctuating,73,52,56,20,19
73,Tentacruel,2153050,Fluctuating,134,71,79,30,28
