item_id,name_key,display_name,buy_price,sell_price,category
0,ItemNameNone,Nothing,0,0,CATEGORY_BERRIES_SEEDS_VITAMINS
1,ItemNameStick,Stick,2,1,CATEGORY_THROWN_LINE
2,ItemNameIronThorn,Iron Thorn,4,2,CATEGORY_THROWN_LINE
3,ItemNameSilverSpike,Silver Spike,6,3,CATEGORY_THROWN_LINE
4,ItemNameGoldFang,Gold Fang,8,4,CATEGORY_THROWN_LINE
5,ItemNameCacneaSpike,Cacnea Spike,10,5,CATEGORY_THROWN_LINE
6,ItemNameCorsolaTwig,Corsola Twig,12,6,CATEGORY_THROWN_LINE
7,ItemNameGravelerock,Gravelerock,10,5,CATEGORY_THROWN_ARC
8,ItemNameGeoPebble,Geo Pebble,5,5,CATEGORY_THROWN_ARC
9,ItemNameMobileScarf,Mobile Scarf,1000,300,CATEGORY_HELD_ITEMS
10,ItemNameHealRibbon,Heal Ribbon,1100,350,CATEGORY_HELD_ITEMS
11,ItemNameTwistBand,Twist Band,1200,400,CATEGORY_HELD_ITEMS
12,ItemNameScopeLens,Scope Lens,1300,450,CATEGORY_HELD_ITEMS
13,ItemNamePatsyBand,Patsy Band,50,25,CATEGORY_HELD_ITEMS
14,ItemNameNoStickCap,No-Stick Cap,1500,550,CATEGORY_HELD_ITEMS
15,ItemNamePierceBand,Pierce Band,1600,600,CATEGORY_HELD_ITEMS
16,ItemNameJoyRibbon,Joy Ribbon,4000,2000,CATEGORY_HELD_ITEMS
17,ItemNameXRaySpecs,X-Ray Specs,4000,2000,CATEGORY_HELD_ITEMS
18,ItemNamePersimBand,Persim Band,1500,750,CATEGORY_HELD_ITEMS
19,ItemNamePowerBand,Power Band,500,250,CATEGORY_HELD_ITEMS
20,ItemNamePechaScarf,Pecha Scarf,1200,500,CATEGORY_HELD_ITEMS
21,ItemNameInsomniscope,Insomniscope,1200,500,CATEGORY_HELD_ITEMS
22,ItemNameWarpScarf,Warp Scarf,50,25,CATEGORY_HELD_ITEMS
23,ItemNameTightBelt,Tight Belt,4000,1000,CATEGORY_HELD_ITEMS
24,ItemNameSneakScarf,Sneak Scarf,2500,1000,CATEGORY_HELD_ITEMS
25,ItemNameGoldRibbon,Gold Ribbon,3000,2000,CATEGORY_HELD_ITEMS
26,ItemNameGoggleSpecs,Goggle Specs,1500,500,CATEGORY_HELD_ITEMS
27,ItemNameDietRibbon,Diet Ribbon,50,25,CATEGORY_HELD_ITEMS
28,ItemNameTrapScarf,Trap Scarf,4000,1500,CATEGORY_HELD_ITEMS
29,ItemNameRacketBand,Racket Band,3000,1300,CATEGORY_HELD_ITEMS
30,ItemNameDefScarf,Def. Scarf,3000,1350,CATEGORY_HELD_ITEMS
31,ItemNameStaminaBand,Stamina Band,3200,1400,CATEGORY_HELD_ITEMS
32,ItemNamePlainRibbon,Plain Ribbon,50,25,CATEGORY_HELD_ITEMS
33,ItemNameSpecialBand,Special Band,4000,1500,CATEGORY_HELD_ITEMS
34,ItemNameZincBand,Zinc Band,4000,1500,CATEGORY_HELD_ITEMS
35,ItemNameDetectBand,Detect Band,4000,1500,CATEGORY_HELD_ITEMS
36,ItemNameAlertSpecs,Alert Specs,4000,2000,CATEGORY_HELD_ITEMS
37,ItemNameDodgeScarf,Dodge Scarf,4000,2500,CATEGORY_HELD_ITEMS
38,ItemNameBounceBand,Bounce Band,3500,1500,CATEGORY_HELD_ITEMS
39,ItemNameCurveBand,Curve Band,50,25,CATEGORY_HELD_ITEMS
40,ItemNameWhiffSpecs,Whiff Specs,50,25,CATEGORY_HELD_ITEMS
41,ItemNameNoAimScope,No-Aim Scope,100,50,CATEGORY_HELD_ITEMS
42,ItemNameLockonSpecs,Lockon Specs,4000,1500,CATEGORY_HELD_ITEMS
43,ItemNameMunchBelt,Munch Belt,4000,1500,CATEGORY_HELD_ITEMS
44,ItemNamePassScarf,Pass Scarf,4000,1500,CATEGORY_HELD_ITEMS
45,ItemNameWeatherBand,Weather Band,4000,1500,CATEGORY_HELD_ITEMS
46,ItemNameFriendBow,Friend Bow,4000,500,CATEGORY_HELD_ITEMS
47,ItemNameBeautyScarf,Beauty Scarf,4000,4000,CATEGORY_HELD_ITEMS
48,ItemNameSunRibbon,Sun Ribbon,4000,1500,CATEGORY_HELD_ITEMS
49,ItemNameLunarRibbon,Lunar Ribbon,4000,1500,CATEGORY_HELD_ITEMS
50,ItemNameRingD,Ring D,4000,1500,CATEGORY_HELD_ITEMS
51,ItemNameRingE,Ring E,4000,1500,CATEGORY_HELD_ITEMS
52,ItemNameRingF,Ring F,4000,1500,CATEGORY_HELD_ITEMS
53,ItemNameHealSeed,Heal Seed,250,120,CATEGORY_BERRIES_SEEDS_VITAMINS
54,ItemNameWishStone,Wish Stone,4,2,CATEGORY_OTHER
55,ItemNameOranBerry,Oran Berry,50,25,CATEGORY_BERRIES_SEEDS_VITAMINS
56,ItemNameSitrusBerry,Sitrus Berry,4000,100,CATEGORY_BERRIES_SEEDS_VITAMINS
57,ItemNameEyedropSeed,Eyedrop Seed,60,20,CATEGORY_BERRIES_SEEDS_VITAMINS
