Pokemon,Type,weather,weather_chance_nightmare,weather_chance_hard,weather_chance_normal,Minion1,Minion2,BossMove1,BossMove2,BossMove3,BossMove4,Minion1Move1,Minion1Move2,Minion1Move3,Minion1Move4,Minion2Move1,Minion2Move2,Minion2Move3,Minion2Move4
Heracross,Bug,,,,,Beedrill,Butterfree,solarbeam,,,,solarbeam,,,,solarbeam,,,
Scizor,Bug,,,,,Scyther,Scyther,solarbeam,,,,solarbeam,,,,solarbeam,,,
Absol,Dark,,,,,Sableye,Mightyena,solarbeam,,,,solarbeam,,,,solarbeam,,,
Shiftry,Dark,,,,,Crawdaunt,Sharpedo,solarbeam,,,,solarbeam,,,,solarbeam,,,
Latias,Dragon,,,,,Dragonite,Kingdra,solarbeam,,,,solarbeam,,,,solarbeam,,,
Latios,Dragon,,,,,Salamence,Flygon,solarbeam,,,,solarbeam,,,,solarbeam,,,
Zapdos,Electric,,,,,Raichu,Manectric,solarbeam,,,,solarbeam,,,,solarbeam,,,
Raikou,Electric,,,,,Jolteon,Jolteon,solarbeam,,,,solarbeam,,,,solarbeam,,,
Machamp,Fighting,,,,,Hitmonlee,Hitmonchan,solarbeam,,,,solarbeam,,,,solarbeam,,,
Medicham,Fighting,,,,,Breloom,Hariyama,solarbeam,,,,solarbeam,,,,solarbeam,,,
Moltres,Fire,Sunny,1,0.6,0,Charizard,Typhlosion,solarbeam,,,,solarbeam,,,,solarbeam,,,
Entei,Fire,Sunny,1,0.6,0,Flareon,Flareon,solarbeam,,,,solarbeam,,,,solarbeam,,,
Ho-Oh,Flying,,,,,Swellow,Pidgeot,solarbeam,,,,solarbeam,,,,solarbeam,,,
Rayquaza,Flying,,,,,Aerodactyl,Altaria,solarbeam,,,,solarbeam,,,,solarbeam,,,
Gengar,Ghost,,,,,Banette,Shedinja,solarbeam,,,,solarbeam,,,,solarbeam,,,
Dusclops,Ghost,,,,,Sableye,Misdreavus,solarbeam,,,,solarbeam,,,,solarbeam,,,
Celebi,Grass,,,,,Tropius,Exeggutor,solarbeam,,,,solarbeam,,,,solarbeam,,,
Venusaur,Grass,Sunny,1,0.6,0,Meganium,Sceptile,solarbeam,,,,solarbeam,,,,solarbeam,,,
Groudon,Ground,,,,,Rhydon,Onix,solarbeam,,,,solarbeam,,,,solarbeam,,,
Claydol,Ground,,,,,Solrock,Lunatone,solarbeam,,,,solarbeam,,,,solarbeam,,,
Articuno,Ice,Snow,1,0.6,0,Dewgong,Cloyster,solarbeam,,,,solarbeam,,,,solarbeam,,,
Regice,Ice,Hail,1,0.6,0,Glalie,Walrein,solarbeam,,,,solarbeam,,,,solarbeam,,,
Mewtwo,Normal,,,,,Tauros,Ursaring,solarbeam,,,,solarbeam,,,,solarbeam,,,
Mew,Normal,,,,,Togetic,Porygon2,solarbeam,,,,solarbeam,,,,solarbeam,,,
Muk,Poison,,,,,Weezing,Swalot,solarbeam,,,,solarbeam,,,,solarbeam,,,
Crobat,Poison,,,,,Seviper,Arbok,solarbeam,,,,solarbeam,,,,solarbeam,,,
Lugia,Psychic,Fog,1,0.6,0,Xatu,Starmie,solarbeam,,,,solarbeam,,,,solarbeam,,,
Deoxys,Psychic,,,,,Deoxys,Deoxys,solarbeam,,,,solarbeam,,,,solarbeam,,,
Regirock,Rock,Sandstorm,1,0.6,0,Cradily,Armaldo,solarbeam,,,,solarbeam,,,,solarbeam,,,
Tyranitar,Rock,,,,,Kabutops,Omastar,solarbeam,,,,solarbeam,,,,solarbeam,,,
Registeel,Steel,,,,,Magneton,Skarmory,solarbeam,,,,solarbeam,,,,solarbeam,,,
Jirachi,Steel,,,,,Metagross,Steelix,solarbeam,,,,solarbeam,,,,solarbeam,,,
Suicune,Water,Fog,1,0.6,0,Vaporeon,Vaporeon,solarbeam,,,,solarbeam,,,,solarbeam,,,
Kyogre,Water,,,,,Gorebyss,Huntail,solarbeam,,,,solarbeam,,,,solarbeam,,,
