ID,Name,Tier,PrimaryLootDrop,SecondaryLootDrop,KecleonShopRareItem,KecleonShopCommonItem,NormalItemDrop,RareItemDrop,MonsterHouseDrop
1,Stick,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2,Iron Thorn,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,Silver Spike,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
4,Gold Fang,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
5,Cacnea Spike,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
6,Corsola Twig,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
7,Gravelerock,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,Geo Pebble,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,Mobile Scarf,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Heal Ribbon,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
11,Twist Band,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
12,Scope Lens,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
13,Patsy Band,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
14,No-Stick Cap,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
15,Pierce Band,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,Joy Ribbon,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
17,X-Ray Specs,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Persim Band,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
19,Power Band,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
20,Pecha Scarf,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
21,Insomniscope,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
22,Warp Scarf,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
