,,,,,Body Part Color Overrides,,,,,,,,,,,,,,,,Contributor
ID,Number,CodeName,Name,Shiny Palette,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
0,0,MonsterNameNone,None,,,,,,,,,,,,,,,,,,
1,1,MonsterNameBulbasaur,Bulbasaur,8,,,5,,6,,,,,,,,,,,,FairyForestKing
2,2,MonsterNameIvysaur,Ivysaur,3,,,8,9,10,,,,,8,9,,11,12,13,,FairyForestKing
3,3,MonsterNameVenusaur,Venusaur,3,,,8,9,10,,,,,,,,,,,,FairyForestKing
4,4,MonsterNameCharmander,Charmander,0,,,,,,3,4,,,,,5,6,7,6,,FairyForestKing
5,5,MonsterNameCharmeleon,Charmeleon,0,,,,,,,,,,,,6,7,,,,FairyForestKing
6,6,MonsterNameCharizard,Charizard,6,,,,,,2,3,4,,,,,,,,,FairyForestKing
7,7,MonsterNameSquirtle,Squirtle,3,,,12,13,14,11,3,14,5,6,7,,,,,,FairyForestKing
8,8,MonsterNameWartortle,Wartortle,3,,,,,,,,,11,12,13,8,9,10,,,FairyForestKing
9,9,MonsterNameBlastoise,Blastoise,10,,,11,12,6,,,,,,,9,13,14,7,,FairyForestKing
10,10,MonsterNameCaterpie,Caterpie,4,,,8,,9,,,,5,6,4,,2,6,7,,FairyForestKing
11,11,MonsterNameMetapod,Metapod,11,,,,,,,,,,,,,,,,,FairyForestKing
12,12,MonsterNameButterfree,Butterfree,10,,,,,,8,9,10,,3,4,,,6,7,,FairyForestKing
13,13,MonsterNameWeedle,Weedle,4,,,,,,,,,9,10,,2,5,6,7,,FairyForestKing
14,14,MonsterNameKakuna,Kakuna,8,,,11,,,12,13,14,,,,,,,,,FairyForestKing
15,15,MonsterNameBeedrill,Beedrill,3,,,,,,11,12,13,5,6,6,,6,5,7,,FairyForestKing
16,16,MonsterNamePidgey,Pidgey,4,,,,,7,,,,6,7,7,5,2,6,,,FairyForestKing
17,17,MonsterNamePidgeotto,Pidgeotto,4,,,3,4,15,,,,5,6,7,5,2,6,7,,FairyForestKing
18,18,MonsterNamePidgeot,Pidgeot,4,,,3,4,15,,,,5,6,,5,2,6,7,,FairyForestKing
19,19,MonsterNameRattata,Rattata,2,,,5,6,7,,5,5,,,,,,,,,FairyForestKing
20,20,MonsterNameRaticate,Raticate,6,,,,,,,,,5,6,7,8,5,9,10,,FairyForestKing
21,21,MonsterNameSpearow,Spearow,4,,,,,,,,,2,6,7,5,2,6,4,,FairyForestKing
22,22,MonsterNameFearow,Fearow,4,,,3,4,15,,,,12,13,14,5,2,6,7,,FairyForestKing
23,23,MonsterNameEkans,Ekans,3,,,11,12,13,8,9,10,,,,,,,,14,FairyForestKing
24,24,MonsterNameArbok,Arbok,2,,,5,6,7,,,,,,,8,9,10,,,FairyForestKing
25,25,MonsterNamePikachu,Pikachu,4,,,12,13,,12,13,14,,,,,8,9,,,FairyForestKing
26,26,MonsterNameRaichu,Raichu,4,,,,,,,5,6,,,,,,12,13,,FairyForestKing
27,27,MonsterNameSandshrew,Sandshrew,3,,,,6,7,11,13,14,5,,,,,,,,FairyForestKing
28,28,MonsterNameSandslash,Sandslash,5,,,,,2,3,4,15,,,,5,5,6,7,,FairyForestKing
29,29,MonsterNameNidoran_F,Nidoran♀,7,,,8,9,10,,,,2,,4,,8,,,,FairyForestKing
30,30,MonsterNameNidorina,Nidorina,7,,,8,9,10,,,,,,,,,,,,FairyForestKing
31,31,MonsterNameNidoqueen,Nidoqueen,10,,,,,,,,,,,,,,,7,,FairyForestKing
32,32,MonsterNameNidoran_M,Nidoran♂,5,,,8,9,10,,,14,11,12,,,,,,,FairyForestKing
33,33,MonsterNameNidorino,Nidorino,9,,,5,6,7,8,9,,,,,2,,,,,FairyForestKing
34,34,MonsterNameNidoking,Nidoking,5,,,11,12,13,11,,,,,,,,,,,FairyForestKing
35,35,MonsterNameClefairy,Clefairy,10,,,3,4,15,,,,,,,2,3,4,,,FairyForestKing
36,36,MonsterNameClefable,Clefable,10,,,3,4,15,,,,,,,,3,4,7,,FairyForestKing
37,37,MonsterNameVulpix,Vulpix,4,,,,,,,,,,,,,5,6,7,,FairyForestKing
38,38,MonsterNameNinetales,Ninetales,5,,,,,,12,13,14,6,7,,,,,,,FairyForestKing
39,39,MonsterNameJigglypuff,Jigglypuff,10,,,3,4,15,8,9,,,,,2,2,,4,,FairyForestKing
