id,name,bst_scale,bst_raw,dungeon_number,addon,cost_normal,cost_hard,cost_nightmare,dungeon10_addon,cost_normal_d10,cost_hard_d10,cost_nightmare_d10
0,None,"0,01",1,1,75,85,95,105,750,760,770,780
1,Bulbasaur,"0,1087",25,1,75,184,292,401,750,859,967,1076
2,Ivysaur,"0,3957",91,1,75,471,866,1262,750,1146,1541,1937
3,Venusaur,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
4,Charmander,"0,1043",24,1,75,179,284,388,750,854,959,1063
5,Charmeleon,"0,5",115,1,75,575,1075,1575,750,1250,1750,2250
6,Charizard,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
7,Squirtle,"0,1348",31,1,75,210,345,479,750,885,1020,1154
8,Wartortle,"0,4739",109,1,75,549,1023,1497,750,1224,1698,2172
9,Blastoise,"0,5391",124,1,75,614,1153,1692,750,1289,1828,2367
10,Caterpie,"0,1652",38,1,75,240,405,571,750,915,1080,1246
11,Metapod,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
12,Butterfree,"0,5174",119,1,75,592,1110,1627,750,1267,1785,2302
13,Weedle,"0,2478",57,1,75,323,571,818,750,998,1246,1493
14,Kakuna,"0,3652",84,1,75,440,805,1171,750,1115,1480,1846
15,Beedrill,"0,5261",121,1,75,601,1127,1653,750,1276,1802,2328
16,Pidgey,"0,1217",28,1,75,197,318,440,750,872,993,1115
17,Pidgeotto,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
18,Pidgeot,"0,6174",142,1,75,692,1310,1927,750,1367,1985,2602
19,Rattata,"0,1913",44,1,75,266,458,649,750,941,1133,1324
20,Raticate,"0,3043",70,1,75,379,684,988,750,1054,1359,1663
21,Spearow,"0,3",69,1,75,375,675,975,750,1050,1350,1650
22,Fearow,"0,6348",146,1,75,710,1345,1979,750,1385,2020,2654
23,Ekans,"0,2609",60,1,75,336,597,858,750,1011,1272,1533
24,Arbok,"0,3261",75,1,75,401,727,1053,750,1076,1402,1728
25,Pikachu,"0,0739",17,1,75,149,223,297,750,824,898,972
26,Raichu,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
27,Sandshrew,"0,3478",80,1,75,423,771,1118,750,1098,1446,1793
28,Sandslash,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
29,Nidoran_F,"0,187",43,1,75,262,449,636,750,937,1124,1311
30,Nidorina,"0,3652",84,1,75,440,805,1171,750,1115,1480,1846
31,Nidoqueen,"0,4522",104,1,75,527,979,1432,750,1202,1654,2107
32,Nidoran_M,"0,4087",94,1,75,484,892,1301,750,1159,1567,1976
33,Nidorino,"0,4652",107,1,75,540,1005,1471,750,1215,1680,2146
34,Nidoking,"0,6217",143,1,75,697,1318,1940,750,1372,1993,2615
35,Clefairy,"0,1696",39,1,75,245,414,584,750,920,1089,1259
36,Clefable,"0,2261",52,1,75,301,527,753,750,976,1202,1428
37,Vulpix,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
38,Ninetales,"0,4261",98,1,75,501,927,1353,750,1176,1602,2028
39,Jigglypuff,"0,1",23,1,75,175,275,375,750,850,950,1050
40,Wigglytuff,"0,3",69,1,75,375,675,975,750,1050,1350,1650
41,Zubat,"0,4913",113,1,75,566,1058,1549,750,1241,1733,2224
42,Golbat,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
43,Oddish,"0,3783",87,1,75,453,832,1210,750,1128,1507,1885
44,Gloom,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
45,Vileplume,"0,4435",102,1,75,518,962,1405,750,1193,1637,2080
46,Paras,"0,3478",80,1,75,423,771,1118,750,1098,1446,1793
47,Parasect,"0,6478",149,1,75,723,1371,2018,750,1398,2046,2693
48,Venonat,"0,387",89,1,75,462,849,1236,750,1137,1524,1911
49,Venomoth,"0,5174",119,1,75,592,1110,1627,750,1267,1785,2302
50,Diglett,"0,1696",39,1,75,245,414,584,750,920,1089,1259
51,Dugtrio,"0,2957",68,1,75,371,666,962,750,1046,1341,1637
52,Meowth,"0,1391",32,1,75,214,353,492,750,889,1028,1167
53,Persian,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
54,Psyduck,"0,113",26,1,75,188,301,414,750,863,976,1089
55,Golduck,"0,5652",130,1,75,640,1205,1771,750,1315,1880,2446
56,Mankey,"0,413",95,1,75,488,901,1314,750,1163,1576,1989
57,Primeape,"0,6087",140,1,75,684,1292,1901,750,1359,1967,2576
58,Growlithe,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
59,Arcanine,"0,4913",113,1,75,566,1058,1549,750,1241,1733,2224
60,Poliwag,"0,4043",93,1,75,479,884,1288,750,1154,1559,1963
61,Poliwhirl,"0,687",158,1,75,762,1449,2136,750,1437,2124,2811
62,Poliwrath,"0,7565",174,1,75,832,1588,2345,750,1507,2263,3020
