tileset_id,Spawn Types,Main Type
1,Bug Normal,Grass
2,Ground Rock,Normal
3,Normal,Psychic
4,Grass Bug Ground Poison,Dark
5,Steel Rock,Fighting
6,Ground,Flying
7,Normal Poison Bug,Ghost
8,Fire Normal,Fighting
9,Normal,Ice
10,Normal Flying,Dragon
11,Bug Flying,Grass
12,Psychic Dark Poison,Ghost
13,Rock Normal,Ground
14,Grass Ground Normal,Bug
15,Water Steel,Ice
16,Water Steel,Ice
17,Ground Fire Normal,Rock
18,Water Steel,Ice
19,Ice Water,Steel
20,Bug Normal,Grass
21,Rock Normal,Ground
22,Rock Ground Steel,Fire
23,Grass Bug Fighting,Normal
24,Ice Water,Steel
25,Grass Ground,Normal
26,Grass Flying,Bug
27,Electric Normal,Flying
28,Ghost,Psychic
29,Normal Flying,Electric
30,Psychic,Steel
31,Rock Bug,Ground
32,Grass Bug Poison,Water
33,Water Dark,Poison
34,Flying,Dragon
35,Ghost Dragon,Flying
36,Flying Dragon,Ice
37,Rock Psychic,Ground
38,Ground Normal,Rock
39,Ground Normal,Rock
40,Water Normal,Ice
41,Water Normal,Grass
42,Normal,Electric
43,Flying,Electric
44,Fire Normal Flying Bug,Ground
45,Ice Normal,Dragon
46,Normal,Fire
47,Normal,Ice
48,Rock Steel,Fire
49,Poison,Water
50,Ground Grass,Rock
51,Bug Normal,Grass
52,Normal Bug,Grass
53,Bug Normal,Grass
54,Ice Poison,Water
55,Dragon,Dragon
56,Grass Ground Normal,Flying
57,Rock Psychic Ghost,Poison
58,Dragon Ground,Psychic
59,Ground Rock,Fire
60,Grass Fighting Flying,Normal
61,Poison Ground Electric,Dark
62,Grass Normal,Bug
63,Water Normal,Grass
