Pokemon,Type,weather,weather_chance_nightmare,weather_chance_hard,weather_chance_normal,BossMove1,BossMove2,BossMove3,BossMove4,BossMove1NonNightmare,BossMove2NonNightmare,BossMove3NonNightmare,BossMove4NonNightmare,BossAtk,BossSpAtk,BossDef,BossSpDef,Minion1,Minion1Atk,Minion1SpAtk,Minion1Def,Minion1SpDef,Minion1Move1,Minion1Move2,Minion1Move3,Minion1Move4,Minion1Move1NonNightmare,Minion1Move2NonNightmare,Minion1Move3NonNightmare,Minion1Move4NonNightmare,Minion2,Minion2Atk,Minion2SpAtk,Minion2Def,Minion2SpDef,Minion2Move1,Minion2Move2,Minion2Move3,Minion2Move4,Minion2Move1NonNightmare,Minion2Move2NonNightmare,Minion2Move3NonNightmare,Minion2Move4NonNightmare
Heracross,Bug,,,,,Megahorn,Brick Break,Rock Slide,Bulk Up,Megahorn,Brick Break,Rock Slide,Fury Cutter,high,low,medium,high,Beedrill,high,low,low,high,Twineedle,Pin Missile,Focus Energy,Agility,Twineedle,Fury Cutter,Megahorn,Fury Cutter,Butterfree,low,high,low,high,Fury Cutter,Confusion,Sleep Powder,Whirlwind,Fury Cutter,Confusion,Megahorn,Brick Break
Scizor,Bug,,,,,Fury Cutter,Steel Wing,Double Team,Aerial Ace,Fury Cutter,Steel Wing,Aerial Ace,Megahorn,high,low,high,medium,Scyther,high,low,medium,medium,Wing Attack,Fury Cutter,Agility,Swords Dance,Wing Attack,Fury Cutter,Megahorn,Fury Cutter,Scyther,high,low,medium,medium,Wing Attack,Fury Cutter,Agility,Swords Dance,Wing Attack,Fury Cutter,Megahorn,Fury Cutter
Absol,Dark,,,,,Bite,Slash,Swords Dance,Quick Attack,Bite,Slash,Quick Attack,Crunch,high,medium,low,low,Sableye,medium,low,medium,low,Shadow Ball,Knock Off,Night Shade,Confuse Ray,Shadow Ball,Knock Off,Shadow Ball,Crunch,Mightyena,high,low,medium,low,Bite,Crunch,Howl,Sand Attack,Bite,Crunch,Slash,Shadow Ball
Shiftry,Dark,,,,,Razor Leaf,Nature Power,Extrasensory,Fake Out,Razor Leaf,Nature Power,Extrasensory,Fake Out,high,medium,low,low,Crawdaunt,high,high,medium,low,Crabhammer,Crunch,Swords Dance,Protect,Crabhammer,Crunch,Bite,Slash,Sharpedo,high,medium,low,low,Crunch,Water Pulse,Screech,Agility,Crunch,Water Pulse,Bite,Slash
Latias,Dragon,,,,,Mist Ball,DragonBreath,Calm Mind,Ice Beam,Mist Ball,DragonBreath,Ice Beam,Luster Purge,low,high,medium,high,Dragonite,high,high,medium,medium,Wing Attack,Thunder Wave,Dragon Claw,Agility,Wing Attack,Dragon Claw,Mist Ball,Luster Purge,Kingdra,medium,medium,medium,medium,Hydro Pump,Twister,Agility,Ice Beam,Hydro Pump,Twister,Ice Beam,Mist Ball
Latios,Dragon,,,,,Luster Purge,DragonBreath,Calm Mind,Thunderbolt,Luster Purge,DragonBreath,Thunderbolt,Mist Ball,medium,high,low,high,Salamence,high,high,medium,medium,Dragon Claw,Crunch,Fly,Dragon Dance,Dragon Claw,Crunch,Fly,Mist Ball,Flygon,high,medium,medium,medium,Earthquake,DragonBreath,Sandstorm,Crunch,Earthquake,DragonBreath,Crunch,Mist Ball
Zapdos,Electric,,,,,Drill Peck,Thunderbolt,Thunder Wave,Agility,Drill Peck,Thunderbolt,Spark,Iron Tail,medium,high,medium,medium,Raichu,high,high,low,medium,Thunderbolt,Quick Attack,Thunder Wave,Iron Tail,Thunderbolt,Quick Attack,Iron Tail,Spark,Manectric,medium,high,low,low,Spark,Bite,Roar,Quick Attack,Spark,Bite,Quick Attack,Thunderbolt
Raikou,Electric,,,,,Thunderbolt,Spark,Bite,Reflect,Thunderbolt,Spark,Bite,Drill Peck,medium,high,low,high,Jolteon,low,high,low,high,Thunderbolt,Double Kick,Agility,Pin Missile,Thunderbolt,Double Kick,Fury Cutter,Spark,Jolteon,low,high,low,high,Thunderbolt,Double Kick,Agility,Pin Missile,Thunderbolt,Double Kick,Fury Cutter,Spark
Machamp,Fighting,,,,,Cross Chop,Vital Throw,Rock Slide,Bulk Up,Cross Chop,Vital Throw,Rock Slide,Brick Break,high,low,medium,medium,Hitmonlee,high,low,low,high,Hi Jump Kick,Brick Break,Bulk Up,Focus Energy,Hi Jump Kick,Brick Break,Cross Chop,Vital Throw,Hitmonchan,high,low,medium,high,Sky Uppercut,ThunderPunch,Ice Punch,Agility,Sky Uppercut,ThunderPunch,Ice Punch,Cross Chop
Medicham,Fighting,,,,,Hi Jump Kick,Psychic,Detect,Ice Punch,Hi Jump Kick,Psychic,Ice Punch,Cross Chop,low,low,medium,medium,Breloom,high,low,medium,low,Sky Uppercut,Mach Punch,Mega Punch,Stun Spore,Sky Uppercut,Mach Punch,Mega Punch,Cross Chop,Hariyama,high,low,low,low,Cross Chop,Belly Drum,Fake Out,Knock Off,Cross Chop,Fake Out,Knock Off,Brick Break
Moltres,Fire,Sunny,1,0.6,0,Fire Punch,Wing Attack,Agility,Fire Spin,Fire Punch,Wing Attack,Fire Spin,Fire Blast,high,high,medium,medium,Charizard,medium,high,medium,medium,Fire Punch,Wing Attack,Slash,Smokescreen,Fire Punch,Wing Attack,Slash,Fire Blast,Typhlosion,medium,high,medium,medium,Fire Punch,Swift,Quick Attack,Smokescreen,Fire Punch,Swift,Quick Attack,Fire Blast
Entei,Fire,Sunny,1,0.6,0,Fire Punch,Stomp,Roar,Fire Spin,Fire Punch,Stomp,Fire Spin,Fire Blast,high,medium,medium,low,Flareon,high,medium,low,high,Fire Punch,Bite,Quick Attack,Sand Attack,Fire Punch,Bite,Quick Attack,Fire Blast,Flareon,high,medium,low,high,Fire Punch,Bite,Quick Attack,Sand Attack,Fire Punch,Bite,Quick Attack,Fire Blast
Ho-Oh,Flying,,,,,Sacred Fire,Gust,Fly,Fire Blast,Sacred Fire,Gust,Fly,Fire Blast,high,high,medium,high,Swellow,high,low,low,low,Wing Attack,Quick Attack,Aerial Ace,Focus Energy,Wing Attack,Quick Attack,Aerial Ace,Dragon Claw,Pidgeot,medium,low,medium,low,Wing Attack,Sand-Attack,Quick Attack,FeatherDance,Wing Attack,Quick Attack,Dragon Claw,Fly
Rayquaza,Flying,,,,,Dragon Claw,Crunch,Hyper Beam,Dragon Dance,Dragon Claw,Crunch,Hyper Beam,Wing Attack,high,high,medium,medium,Aerodactyl,high,low,low,medium,Rock Slide,Wing Attack,Agility,Bite,Rock Slide,Wing Attack,Bite,Dragon Claw,Altaria,low,low,high,high,DragonBreath,Sing,Safeguard,Fly,DragonBreath,Fly,Dragon Claw,Wing Attack
Gengar,Ghost,,,,,Shadow Ball,Hypnosis,Dream Eater,Thunderbolt,Shadow Ball,Dream Eater,Thunderbolt,Shadow Punch,low,high,low,medium,Banette,high,medium,low,low,Shadow Ball,Will-O-Wisp,Knock Off,Screech,Shadow Ball,Knock Off,Shadow Punch,Thunderbolt,Shedinja,high,low,low,low,Shadow Ball,Fury Cutter,Swords Dance,Agility,Shadow Ball,Fury Cutter,Shadow Punch,Thunderbolt
Dusclops,Ghost,,,,,Shadow Punch,Will-O-Wisp,Earthquake,Protect,Shadow Punch,Earthquake,Shadow Ball,Thunderbolt,low,low,high,high,Sableye,medium,low,medium,low,Shadow Ball,Faint Attack,Night Shade,Confuse Ray,Shadow Ball,Faint Attack,Shadow Ball,Shadow Punch,Misdreavus,low,high,low,high,Shadow Ball,Psybeam,Confuse Ray,Mean Look,Shadow Ball,Psybeam,Shadow Punch,Thunderbolt
