name,type,class,power,max_pp,acc_1,acc_2,critical_hit_chance,damage_flags,other_flags,targets,move_key,unk0,unk2,unk4,unk6,unk8,unk9,unkC,unk10,unk14,soundEffectId,unk1C,unk20,flag__#0,flag__#1,flag__#10,flag__#100,flag__#101,flag__#102,flag__#103,flag__#104,flag__#105,flag__#106,flag__#107,flag__#108,flag__#109,flag__#11,flag__#110,flag__#111,flag__#112,flag__#113,flag__#114,flag__#115,flag__#116,flag__#117,flag__#118,flag__#119,flag__#12,flag__#120,flag__#121,flag__#122,flag__#123,flag__#125,flag__#126,flag__#127,flag__#128,flag__#129,flag__#13,flag__#130,flag__#131,flag__#132,flag__#133,flag__#134,flag__#135,flag__#136,flag__#137,flag__#138,flag__#139,flag__#14,flag__#140,flag__#141,flag__#142,flag__#143,flag__#144,flag__#145,flag__#146,flag__#147,flag__#148,flag__#149,flag__#15,flag__#150,flag__#151,flag__#152,flag__#153,flag__#154,flag__#155,flag__#156,flag__#157,flag__#158,flag__#159,flag__#16,flag__#160,flag__#161,flag__#162,flag__#163,flag__#164,flag__#165,flag__#166,flag__#167,flag__#168,flag__#169,flag__#17,flag__#170,flag__#171,flag__#172,flag__#173,flag__#174,flag__#175,flag__#176,flag__#177,flag__#178,flag__#179,flag__#18,flag__#180,flag__#181,flag__#182,flag__#183,flag__#184,flag__#185,flag__#186,flag__#187,flag__#188,flag__#189,flag__#19,flag__#190,flag__#191,flag__#192,flag__#193,flag__#194,flag__#195,flag__#196,flag__#197,flag__#198,flag__#199,flag__#20,flag__#200,flag__#201,flag__#202,flag__#203,flag__#204,flag__#205,flag__#206,flag__#207,flag__#208,flag__#209,flag__#21,flag__#210,flag__#211,flag__#212,flag__#213,flag__#214,flag__#215,flag__#216,flag__#217,flag__#218,flag__#219,flag__#22,flag__#220,flag__#221,flag__#222,flag__#223,flag__#224,flag__#225,flag__#226,flag__#227,flag__#228,flag__#229,flag__#23,flag__#230,flag__#231,flag__#232,flag__#233,flag__#234,flag__#235,flag__#236,flag__#237,flag__#238,flag__#239,flag__#24,flag__#240,flag__#241,flag__#242,flag__#243,flag__#244,flag__#245,flag__#246,flag__#247,flag__#248,flag__#249,flag__#25,flag__#250,flag__#251,flag__#252,flag__#253,flag__#254,flag__#255,flag__#256,flag__#257,flag__#258,flag__#259,flag__#26,flag__#260,flag__#261,flag__#262,flag__#263,flag__#264,flag__#265,flag__#27,flag__#28,flag__#29,flag__#3,flag__#30,flag__#31,flag__#32,flag__#33,flag__#34,flag__#35,flag__#36,flag__#37,flag__#38,flag__#39,flag__#4,flag__#40,flag__#41,flag__#42,flag__#43,flag__#44,flag__#45,flag__#46,flag__#47,flag__#48,flag__#49,flag__#5,flag__#50,flag__#51,flag__#52,flag__#53,flag__#54,flag__#55,flag__#56,flag__#57,flag__#58,flag__#59,flag__#6,flag__#60,flag__#61,flag__#62,flag__#63,flag__#64,flag__#65,flag__#66,flag__#67,flag__#68,flag__#69,flag__#7,flag__#70,flag__#71,flag__#72,flag__#73,flag__#74,flag__#75,flag__#76,flag__#77,flag__#78,flag__#79,flag__#8,flag__#80,flag__#81,flag__#82,flag__#83,flag__#84,flag__#85,flag__#86,flag__#87,flag__#88,flag__#89,flag__#9,flag__#90,flag__#91,flag__#92,flag__#93,flag__#94,flag__#95,flag__#96,flag__#97,flag__#98,flag__#99,flag__ANY
Regular Attack,Typeless,Physical,1,17,93,125,0,(#4) (#5) (#6),#1,Foe in front,MOVE_REGULAR_ATTACK,0,0,0,0,0,0,0,1,0,351,0,4079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Absorb,Grass,Special,1,18,88,125,12,(#3) (#4) (#5) (#6),#93,Foe in front,MOVE_ABSORB,22,128,0,0,0,0,0,11,3,997,16,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Acid,Poison,Status,8,17,88,125,12,(#4) (#5) (#6),#21,"Foe in front, cuts corners",MOVE_ACID,0,21,0,350,1,0,1,3,0,997,3,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acid Armor,Poison,Status,2,27,125,125,12,(#2) (#4),#79,User,MOVE_ACID_ARMOR,22,0,0,0,0,0,0,11,3,997,0,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aerial Ace,Flying,Physical,10,8,125,125,12,(#4) (#5) (#6),#0,Foe in front,MOVE_AERIAL_ACE,22,0,32,0,0,0,0,8,0,997,0,2272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeroblast,Flying,Physical,20,12,84,125,50,(#4) (#5) (#6),#0,Line of sight,MOVE_AEROBLAST,0,21,0,340,0,0,3,3,3,997,6,4069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Agility,Psychic,Status,2,22,125,125,12,(#2) (#4),#121,Allies in room,MOVE_AGILITY,0,80,0,0,0,0,0,9,0,353,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Air Cutter,Flying,Physical,2,17,90,125,50,(#4) (#5) (#6),#11,"Foe in front, cuts corners",MOVE_AIR_CUTTER,22,0,0,64,0,0,3,3,0,997,2,448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amnesia,Psychic,Status,2,22,125,125,12,(#2) (#4),#77,User,MOVE_AMNESIA,22,324,0,0,0,0,0,12,0,997,0,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ancientpower,Rock,Physical,12,12,88,125,12,(#4) (#5) (#6),#27,Foe in front,MOVE_ANCIENTPOWER,201,0,0,0,0,0,0,1,3,997,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
