name,type,class,power,max_pp,acc_1,acc_2,critical_hit_chance,damage_flags,other_flags,targets
Regular Attack,Typeless,Physical,1,17,93,125,0,(#4) (#5) (#6),#1,Foe in front
Absorb,Grass,Special,1,18,88,125,12,(#3) (#4) (#5) (#6),#93,Foe in front
Acid,Poison,Status,8,17,88,125,12,(#4) (#5) (#6),#21,"Foe in front, cuts corners"
Acid Armor,Poison,Status,2,27,125,125,12,(#2) (#4),#79,User
Aerial Ace,Flying,Physical,10,8,125,125,12,(#4) (#5) (#6),#0,Foe in front
Aeroblast,Flying,Physical,20,12,84,125,50,(#4) (#5) (#6),#0,Line of sight
Agility,Psychic,Status,2,22,125,125,12,(#2) (#4),#121,Allies in room
Air Cutter,Flying,Physical,2,17,90,125,50,(#4) (#5) (#6),#11,"Foe in front, cuts corners"
Amnesia,Psychic,Status,2,22,125,125,12,(#2) (#4),#77,User
Ancientpower,Rock,Physical,12,12,88,125,12,(#4) (#5) (#6),#27,Foe in front
Arm Thrust,Fighting,Physical,2,17,78,125,2,(#4) (#5) (#6),#0,Foe in front
Aromatherapy,Grass,Status,2,12,125,125,12,(#2),#145,Allies in room
Assist,Normal,Status,2,27,95,125,12,(#4) (#5) (#6),#187,Special
Astonish,Ghost,Physical,6,17,88,125,12,(#4) (#5) (#6),#39,Foe in front
Attract,Normal,Status,2,10,78,100,12,(#1) (#4),#45,"Foe in front, cuts corners"
Aurora Beam,Ice,Special,10,17,65,125,12,(#4) (#5) (#6),#83,Line of sight
Barrage,Normal,Physical,1,17,78,125,2,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Barrier,Psychic,Status,2,22,125,125,12,(#2) (#4),#79,User
Baton Pass,Normal,Status,2,19,125,100,12,(#4),#164,All in room
Beat Up,Dark,Special,2,15,100,100,12,(#4),#235,Allies on floor
Belly Drum,Normal,Status,2,10,100,100,12,(#2) (#4),#222,User
Bide,Normal,Physical,2,15,100,125,12,(#4),#123,User
Bind,Normal,Physical,4,17,78,125,12,(#4) (#5) (#6),#15,Foe in front
Bite,Dark,Special,7,19,90,125,12,(#3) (#4) (#5) (#6),#37,Foe in front
Blast Burn,Fire,Special,30,8,84,125,12,(#3) (#5) (#6),#129,Adjacent foes
Blaze Kick,Fire,Special,16,13,88,125,50,(#5) (#6),#44,Foe in front
Blizzard,Ice,Special,24,10,84,125,12,(#4) (#5) (#6),#8,"Foe in front, cuts corners"
Block,Normal,Status,2,12,100,100,12,(#1) (#4),#55,Foe in front
Bloop Slash,Typeless,Physical,10,22,100,125,12,(#4) (#5) (#6),#0,Foe 1-2 tiles ahead
Blowback,Typeless,Status,2,17,100,100,0,(#4),#66,Line of sight
Body Slam,Normal,Physical,12,17,90,125,12,(#4) (#5) (#6),#35,Foe in front
Bone Club,Ground,Physical,12,15,88,125,12,(#4) (#5) (#6),#36,Foe in front
Bone Rush,Ground,Physical,12,12,70,125,2,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Bonemerang,Ground,Physical,10,14,87,125,12,(#4) (#5) (#6),#0,Line of sight
Bounce,Flying,Physical,16,11,100,125,12,(#4) (#5) (#6),#176,User
Brick Break,Fighting,Physical,14,12,88,125,12,(#4) (#5) (#6),#171,Foe in front
Bubble,Water,Special,4,15,88,125,12,(#4) (#5) (#6),#225,Line of sight
Bubblebeam,Water,Special,6,19,100,100,12,(#4) (#5) (#6),#26,Line of sight
Bulk Up,Fighting,Status,2,22,125,125,12,(#2) (#4),#71,User
Bullet Seed,Grass,Special,10,10,78,125,2,(#4) (#5) (#6),#0,Line of sight
Calm Mind,Psychic,Status,2,19,125,125,12,(#2) (#4),#75,User
Camouflage,Normal,Status,2,22,100,125,12,(#2) (#4),#252,User
Charge,Electric,Status,10,25,100,125,12,(#2) (#4),#198,User
Charm,Normal,Status,2,22,100,75,12,(#1) (#4),#224,Foe in front
Clamp,Water,Special,6,17,78,125,12,(#4) (#5) (#6),#15,Foe in front
Cleanse,Typeless,Status,2,17,100,125,0,(#4),#249,Special
Comet Punch,Normal,Physical,3,19,80,125,1,(#4) (#5) (#6),#0,Foe in front
Confuse Ray,Ghost,Status,2,13,100,100,12,(#1) (#4),#57,Foe in front
Confusion,Psychic,Special,5,22,100,100,12,(#4) (#5) (#6),#28,Foe in front
Constrict,Normal,Physical,2,22,90,125,12,(#4) (#5) (#6),#26,Foe in front
Conversion,Normal,Status,2,22,125,125,12,(#4),#248,User
Conversion 2,Normal,Status,2,22,100,125,12,(#4),#260,User
Cosmic Power,Psychic,Status,2,19,125,125,12,(#2) (#4),#80,User
Cotton Spore,Grass,Status,2,13,100,70,12,(#1) (#4),#85,Foe in front
